date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-09-21 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1130,0.1702,-0.0221,0.4129,0.1414,10047.2063,-0.0042,-0.00019772688590589659,0.19840574622858637
2022-09-22 00:00:00+05:30,10859.1700,10859.1700,0.0000,0.0000,10000.0000,0.0000,0.0000,859.1700,859.1700,10859.1700,0.0000,0.0000,-270.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0243,0.0859,0.1721,-0.0459,-0.2911,0.1501,10000.3402,-0.0047,-0.0006362021143143983,0.23995166239960866
2022-09-23 00:00:00+05:30,10859.1700,10859.1700,0.0000,0.0000,10000.0000,0.0000,0.0000,859.1700,859.1700,10859.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0859,0.1716,-0.0459,-0.2911,0.1501,9828.1293,-0.0172,-0.0005055658725822191,0.22112285597252646
2022-09-26 00:00:00+05:30,10981.8200,20301.8200,-9320.0000,-9442.6600,10000.0000,0.0000,122.6600,859.1700,981.8200,10981.8200,0.0000,0.0000,122.6500,0.8500,-0.8500,9320.0000,-9320.0000,0.0000,9320.0000,0,1,0.0113,0.0982,0.1716,-0.0351,0.0249,0.1519,9655.5214,-0.0176,-0.0001709045557307033,0.15635630375215295
2022-09-27 00:00:00+05:30,11044.0100,11044.0100,0.0000,0.0000,10000.0000,0.0000,0.0000,1044.0100,1044.0100,11044.0100,0.0000,0.0000,62.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0057,0.1044,0.1713,-0.0297,0.1819,0.1524,9662.9497,0.0008,-9.542790271980969e-05,0.15735520098295605
2022-09-28 00:00:00+05:30,11044.0100,11044.0100,0.0000,0.0000,10000.0000,0.0000,0.0000,1044.0100,1044.0100,11044.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1044,0.1708,-0.0297,0.1819,0.1524,9541.1489,-0.0126,-6.434322700967404e-05,0.15174312748471638
2022-09-29 00:00:00+05:30,11044.0100,11044.0100,0.0000,0.0000,10000.0000,0.0000,0.0000,1044.0100,1044.0100,11044.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1044,0.1703,-0.0297,0.6814,0.1479,9550.6469,0.0010,-6.241303019383624e-05,0.1517748206903844
2022-09-30 00:00:00+05:30,11044.0100,11044.0100,0.0000,0.0000,10000.0000,0.0000,0.0000,1044.0100,1044.0100,11044.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1044,0.1698,-0.0297,1.1507,0.1442,9700.5163,0.0157,0.00018940246617718109,0.15532974776287833
2022-10-03 00:00:00+05:30,11001.2000,1822.0000,9179.2000,9148.2500,10000.0000,0.0000,30.9500,970.2500,1001.2000,11001.2000,0.0000,0.0000,-42.8100,0.8300,0.8300,9179.2000,9179.2000,9179.2000,0.0000,1,0,-0.0039,0.1001,0.1694,-0.0334,1.1417,0.1442,9569.4160,-0.0135,0.0004129478450389143,0.15206418458303528
2022-10-04 00:00:00+05:30,11274.2000,1822.0000,9452.2000,9148.2500,10000.0000,0.0000,303.9500,970.2500,1274.2000,11274.2000,0.0000,0.0000,273.0000,0.8400,0.8400,9452.2000,9452.2000,9452.2000,0.0000,1,0,0.0248,0.1274,0.1714,-0.0094,1.1934,0.1457,9797.0553,0.0238,0.0007237318145453735,0.25105283347131363
2022-10-06 00:00:00+05:30,11726.0000,1822.0000,9904.0000,9148.2500,10000.0000,0.0000,755.7500,970.2500,1726.0000,11726.0000,0.0000,0.0000,451.8000,0.8400,0.8400,9904.0000,9904.0000,9904.0000,0.0000,1,0,0.0401,0.1726,0.1771,0.0000,2.5379,0.1623,9819.0850,0.0022,0.0010566895388307508,0.23296930132176658
2022-10-07 00:00:00+05:30,11655.0000,1822.0000,9833.0000,9148.2500,10000.0000,0.0000,684.7500,970.2500,1655.0000,11655.0000,0.0000,0.0000,-71.0000,0.8400,0.8400,9833.0000,9833.0000,9833.0000,0.0000,1,0,-0.0061,0.1655,0.1768,-0.0061,2.3693,0.1631,9818.9999,-0.0000,0.001231116332575891,0.24756670185419014
2022-10-10 00:00:00+05:30,11573.8100,11573.8100,0.0000,0.0000,10000.0000,0.0000,0.0000,1573.8100,1573.8100,11573.8100,0.0000,0.0000,-81.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0070,0.1574,0.1765,-0.0130,2.2164,0.1639,9782.8793,-0.0037,0.0011201458977047173,0.25362563078963696
2022-10-11 00:00:00+05:30,11573.8100,11573.8100,0.0000,0.0000,10000.0000,0.0000,0.0000,1573.8100,1573.8100,11573.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1574,0.1760,-0.0130,2.2164,0.1639,9619.4008,-0.0167,0.0011825218993775771,0.24358580635836297
2022-10-12 00:00:00+05:30,11573.8100,11573.8100,0.0000,0.0000,10000.0000,0.0000,0.0000,1573.8100,1573.8100,11573.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1574,0.1755,-0.0130,2.2164,0.1639,9712.9062,0.0097,0.0011349095110947214,0.23800325999811497
2022-10-13 00:00:00+05:30,11567.5900,11567.5900,0.0000,0.0000,10000.0000,0.0000,0.0000,1567.5900,1567.5900,11567.5900,0.0000,0.0000,-6.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0005,0.1568,0.1750,-0.0135,2.2033,0.1639,9649.8227,-0.0065,0.0011455330287467053,0.23776131825638427
2022-10-14 00:00:00+05:30,11567.5900,11567.5900,0.0000,0.0000,10000.0000,0.0000,0.0000,1567.5900,1567.5900,11567.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1568,0.1746,-0.0135,2.3501,0.1633,9753.3363,0.0107,0.0011335945054491568,0.23417168093717525
2022-10-17 00:00:00+05:30,11567.5900,11567.5900,0.0000,0.0000,10000.0000,0.0000,0.0000,1567.5900,1567.5900,11567.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1568,0.1742,-0.0135,2.3501,0.1633,9821.4949,0.0070,0.0012284977704211952,0.2543917914831324
2022-10-18 00:00:00+05:30,11567.5900,11567.5900,0.0000,0.0000,10000.0000,0.0000,0.0000,1567.5900,1567.5900,11567.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1568,0.1738,-0.0135,2.5329,0.1625,9917.9205,0.0098,0.0012057444867444138,0.24934609211424227
2022-10-19 00:00:00+05:30,11567.5900,11567.5900,0.0000,0.0000,10000.0000,0.0000,0.0000,1567.5900,1567.5900,11567.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1568,0.1734,-0.0135,2.5329,0.1625,9933.9395,0.0016,0.0013317266583311197,0.266087584094396
2022-10-20 00:00:00+05:30,11532.7900,11532.7900,0.0000,0.0000,10000.0000,0.0000,0.0000,1532.7900,1532.7900,11532.7900,0.0000,0.0000,-34.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0030,0.1533,0.1730,-0.0165,2.3945,0.1628,9960.2503,0.0026,0.001299348004557182,0.26794717410025015
2022-10-21 00:00:00+05:30,11532.7900,11532.7900,0.0000,0.0000,10000.0000,0.0000,0.0000,1532.7900,1532.7900,11532.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1533,0.1726,-0.0165,2.0441,0.1605,9970.7406,0.0011,0.001285663722341096,0.2686633036313325
